3	-6.6016821631980065
5	-inf
11	-inf
13	0.7571179791239047
17	4.921052466808646
19	-14.535017293265582
24	-15.199999988079071
27	-15.199999988079071
31	-15.199999988079071
33	-15.199999988079071
38	-7.72465171229635
40	-3.6715069279802037
42	-inf
45	nan
52	-14.216326391680013
55	-15.199999988079071
57	-9.002855793527146
62	-15.199999988079071
64	-15.199999988079071
67	-15.199999988079071
69	4.316450917619591
72	-inf
77	-16.19999998807907
79	-15.199999988079071
83	-15.199999988079071
87	-15.199999988079071
91	-15.199999988079071
94	-15.199999988079071
98	-inf
100	2.690209190085284
103	-15.199999988079071
106	0.807504925560238
108	-inf
112	-17.19999998807907
117	nan
119	-inf
123	-inf
127	33.552876132260735
129	-inf
132	-8.94342800092818
134	-inf
137	-inf
138	-inf
140	-inf
142	-inf
146	19.21871697974973
149	-inf
153	-16.19999998807907
155	-5.2373476106797625
157	-15.199999988079071
171	-4.3805066590448405
175	-15.199999988079071
187	20.861922634922507
190	-inf
196	49.42746794203754
203	-1.3537249214547273
204	-inf
206	-inf
210	26.197836142907704
213	-11.470186200317016
217	-15.199999988079071
219	-12.396078801353724
227	1.2644569276347966
234	-inf
238	-16.19999998807907
242	-12.815397065567822
245	-4.048441502982314
246	-inf
248	-inf
252	-15.199999988079071
256	-15.199999988079071
260	-7.995343434348456
266	-16.19999998807907
273	-15.199999988079071
276	-inf
278	-1.814374398652717
280	-inf
281	-inf
285	31.407826370344196
289	-15.199999988079071
293	-inf
294	-inf
295	-inf
300	-15.199999988079071
303	-15.199999988079071
307	-17.19999998807907
319	-15.199999988079071
322	13.057969517625907
324	-inf
326	-inf
329	19.590453825376926
333	-inf
340	-15.192310948053091
344	-11.617548950368814
346	-15.199999988079071
356	-10.828004657908878
363	4.792387138223603
366	15.159118978024594
379	0.4278716884368805
386	7.379095756233141
389	-inf
391	-inf
395	-inf
399	-15.199999988079071
401	-15.199999988079071
403	-15.199999988079071
405	-15.199999988079071
410	16.170973314263847
412	-inf
416	14.407977253558556
425	9.925557436531903
427	4.923431763380563
431	-inf
433	-inf
436	19.18690017142626
438	18.133106066457913
442	-14.59449810637193
449	-inf
454	-15.199999988079071
458	-6.951215832918251
461	nan
463	-15.199999988079071
466	-15.199999988079071
470	-inf
473	8.86224132631446
476	-inf
480	17.52855499790803
484	-15.199999988079071
486	-11.24216006149959
489	2.2081993757703913
492	-12.776726877488159
497	-15.199999988079071
500	-15.199999988079071
504	-1.9341701567057044
506	-inf
513	10.443061135841731
526	-14.420271617507069
529	30.298362062652814
530	-inf
532	2.3733692149196486
535	-inf
538	-inf
542	17.487298945072098
544	-inf
546	17.03868489850595
549	2.34287805318786
551	-inf
557	-inf
560	17.023772475807732
562	-0.5103749225003185
568	-inf
570	-inf
572	-inf
574	6.775729749492484
576	-inf
577	-inf
579	-9.138244613348093
582	-8.089657065969163
584	-7.326282469487978
587	27.902637506377346
589	-7.253383350095191
591	-15.199999988079071
595	-15.199999988079071
599	-1.3023037270827444
601	-2.800000011920929
605	20.484499778463032
609	-inf
612	-15.199999988079071
619	-15.199999988079071
623	-5.615604509329728
627	-15.199999988079071
630	-10.504964899264905
632	-inf
634	-inf
639	-inf
643	-15.199999988079071
646	-15.199999988079071
649	-15.199999988079071
651	-8.797655569092058
654	-inf
658	-8.029519900843297
666	14.199999988079071
670	14.302177461615543
672	-inf
674	-inf
678	-15.199999988079071
690	-15.199999988079071
694	8.945893727542853
696	-inf
698	13.31165060964554
701	0.21720240088575338
703	-inf
706	-10.592936294279525
709	-inf
719	-inf
723	-15.199999988079071
727	-15.199999988079071
732	-15.199999988079071
740	-21.579504351385822
743	-15.199999988079071
751	-15.199999988079071
755	19.154331469746126
759	15.687937032622585
765	-15.199999988079071
767	-15.199999988079071
774	-15.199999988079071
776	-12.570188948984764
778	-13.43721963934695
780	-2.7759346734048904
786	-inf
793	-15.199999988079071
801	16.206513191173485
803	-inf
807	38.529677873244964
811	-3.74593588086168
814	-15.199999988079071
818	-15.199999988079071
820	-15.199999988079071
824	-15.199999988079071
828	-15.199999988079071
831	-15.199999988079071
834	4.1210021352256945
836	14.648767381259859
839	-inf
841	-4.013642506987026
849	-inf
851	-inf
853	-inf
855	-13.178007896526196
861	-inf
864	-15.199999988079071
866	-6.5630493952456845
868	-15.199999988079071
872	-inf
874	-inf
880	-inf
886	-inf
891	-6.612056851500142
895	-13.298594788041669
897	-inf
900	-inf
904	-13.394084993536353
906	-14.48913410740613
910	-15.199999988079071
912	10.3452900256774
915	-inf
916	-inf
920	-inf
922	-inf
924	-inf
926	3.0824293799460065
928	9.084164824923619
930	4.51907695979537
934	-15.199999988079071
937	-6.124775166512791
944	-15.199999988079071
948	-15.199999988079071
952	-16.24291978665542
956	-15.199999988079071
958	-15.199999988079071
961	-15.199999988079071
966	-15.199999988079071
970	-15.199999988079071
975	-inf
976	-inf
985	-15.199999988079071
991	24.999545864099332
1010	-9.190933104550595
1014	nan
1016	10.250504015062347
1020	-inf
1024	-2.9988209569507944
1028	-inf
1032	22.360672385911926
1033	-inf
1037	13.972367321798174
1039	-15.199999988079071
1047	4.450665030334221
1048	-inf
1050	-inf
1054	8.377898517785184
1058	-15.199999988079071
1062	-15.199999988079071
1069	-9.003448998548834
1071	8.281867515191948
1075	-15.199999988079071
1077	-15.199999988079071
1079	-inf
1081	-inf
1084	5.8227330857583866
1087	-0.5029908582192775
1090	-inf
1091	-inf
1096	7.405416058708852
1100	14.746114867461756
1104	-15.199999988079071
1111	-15.199999988079071
1115	-0.09293903428056183
1117	-inf
